led,BKN,FEW,OVC,altim_in_hg,dewpoint_c,elevation_m,flight_category,latitude,longitude,observation_time,precip_in,station_id,temp_c,visibility_statute_mi,wind_dir_degrees,wind_speed_kt,wx_string,temp_f,elevation_ft,cloudbase_msl,cloudbase_agl,R,G,B,clr,clr255
1,,,,30.070866,6.7,3.0,VFR,34.43,-119.85,2017-11-19T15:53:00Z,,KSBA,9.4,10.0,0.0,0.0,,48.92,9.84252,1104.5454545454545,1094.7029345454546,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
3,,,,30.070866,-2.8,23.0,VFR,34.22,-119.1,2017-11-19T15:55:00Z,,KCMA,15.0,10.0,310.0,4.0,,59.0,75.45932,7281.818181818182,7206.358861818182,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
4,28000,20000,,30.070866,-0.6,4.0,VFR,34.12,-119.12,2017-11-19T15:56:00Z,,KNTD,12.8,10.0,360.0,7.0,,55.040000000000006,13.12336,5481.818181818182,5468.694821818182,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
5,,,,30.070866,-10.6,245.0,VFR,34.22,-118.48,2017-11-19T15:51:00Z,,KVNY,16.1,10.0,0.0,0.0,,60.980000000000004,803.8058,10922.727272727274,10118.921472727274,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
6,,,,,,,,,,,,,,,,,,,,,,,,,"[nan, nan, nan]","[nan, nan, nan]"
7,,,,30.070866,-2.8,217.0,VFR,34.2,-118.37,2017-11-19T15:53:00Z,,KBUR,13.3,10.0,0.0,0.0,,55.94,711.94228,6586.363636363637,5874.421356363637,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
8,,,,30.15059,4.4,151.0,VFR,35.43,-119.05,2017-11-19T15:54:00Z,,KBFL,7.8,6.0,0.0,0.0,HZ,46.04,495.40684,1390.9090909090905,895.5022509090905,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
9,,,,30.221457,-11.1,696.0,VFR,35.67,-117.67,2017-11-19T15:56:00Z,,KNID,2.8,10.0,0.0,0.0,,37.04,2283.46464,5686.363636363635,3402.898996363635,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
10,,,,30.221457,-11.7,587.0,VFR,34.85,-116.78,2017-11-19T15:50:00Z,,KDAG,3.9,10.0,280.0,8.0,,39.019999999999996,1925.85308,6381.818181818181,4455.965101818181,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
11,,,,30.221457,-11.1,715.0,VFR,34.72,-118.22,2017-11-19T15:56:00Z,,KWJF,0.6,10.0,50.0,4.0,,33.08,2345.8006,4786.363636363636,2440.563036363636,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
12,,,,30.209646,-8.3,780.0,VFR,34.63,-118.08,2017-11-19T15:53:00Z,,KPMD,5.0,10.0,150.0,3.0,,41.0,2559.0552,5440.909090909091,2881.853890909091,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
13,,,,30.200787,-12.9,702.0,VFR,34.88,-117.87,2017-11-19T15:58:00Z,,KEDW,-0.6,10.0,240.0,3.0,,30.92,2303.14968,5031.818181818182,2728.668501818182,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
14,,,,30.209646,-11.0,849.0,VFR,35.07,-118.15,2017-11-19T16:20:00Z,,KMHV,6.0,10.0,0.0,0.0,,42.8,2785.43316,6954.545454545454,4169.112294545454,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
15,30000,23000,,30.059055,-5.0,46.0,VFR,33.93,-118.38,2017-11-19T15:53:00Z,,KLAX,15.6,10.0,0.0,0.0,,60.08,150.91864,8427.272727272728,8276.354087272728,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
16,,,,30.059055,-2.8,18.0,VFR,33.92,-118.33,2017-11-19T15:53:00Z,,KHHR,15.6,10.0,0.0,0.0,,60.08,59.05512,7527.272727272726,7468.217607272726,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
17,,,,30.059055,1.1,10.0,VFR,33.82,-118.15,2017-11-19T15:53:00Z,,KLGB,14.4,10.0,0.0,0.0,,57.92,32.8084,5440.909090909091,5408.100690909091,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
18,25000,,,30.059055,8.6,11.0,VFR,33.77,-118.03,2017-11-19T15:58:00Z,,KSLI,12.7,10.0,0.0,0.0,,54.86,36.08924,1677.272727272727,1641.183487272727,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
19,25000,,,30.059055,9.4,16.0,VFR,33.67,-117.87,2017-11-19T15:53:00Z,,KSNA,13.9,10.0,0.0,0.0,,57.019999999999996,52.49344,1840.9090909090908,1788.4156509090908,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
20,20000,,,30.079725,-2.2,274.0,VFR,34.05,-117.58,2017-11-19T15:53:00Z,,KONT,15.6,10.0,0.0,0.0,,60.08,898.95016,7281.818181818182,6382.868021818182,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
21,,,,30.100393,-3.3,252.0,VFR,33.95,-117.45,2017-11-19T15:53:00Z,,KRAL,12.2,10.0,80.0,4.0,,53.96,826.77168,6340.90909090909,5514.13741090909,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
22,,,,30.109253,-6.6,469.0,VFR,33.87,-117.27,2017-11-19T15:58:00Z,,KRIV,13.6,10.0,0.0,0.0,,56.480000000000004,1538.71396,8263.636363636362,6724.922403636362,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
23,,,,30.109253,-6.0,353.0,VFR,34.08,-117.25,2017-11-19T15:50:00Z,,KSBD,11.0,10.0,0.0,0.0,,51.8,1158.13652,6954.545454545454,5796.408934545454,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
25,,,,30.129921,-9.4,135.0,VFR,33.82,-116.5,2017-11-19T15:53:00Z,,KPSP,15.0,10.0,300.0,3.0,,59.0,442.9134,9981.81818181818,9538.90478181818,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
29,,1200,,30.079725,5.0,12.0,VFR,32.73,-117.18,2017-11-19T15:51:00Z,,KSAN,14.4,10.0,0.0,0.0,,57.92,39.37008,3845.4545454545455,3806.0844654545454,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
30,,16000,,30.070866,12.2,8.0,VFR,32.7,-117.22,2017-11-19T15:52:00Z,,KNZY,14.4,10.0,360.0,5.0,,57.92,26.24672,900.0000000000003,873.7532800000004,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
31,,,,30.088583,-2.8,482.0,VFR,33.4,-118.42,2017-11-19T15:51:00Z,,KAVX,19.4,10.0,60.0,4.0,,66.92,1581.36488,9081.81818181818,7500.45330181818,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
32,,,,30.188976,5.0,135.0,,36.02,-119.07,2017-11-19T16:09:00Z,,KPTV,6.0,0.25,240.0,3.0,FG,42.8,442.9134,409.09090909090907,-33.82249090909096,,,,"[nan, nan, nan]","[nan, nan, nan]"
33,,,,30.180119,4.4,11.0,VFR,38.5,-121.5,2017-11-19T15:53:00Z,,KSAC,5.0,10.0,0.0,0.0,,41.0,36.08924,245.4545454545453,209.3653054545453,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
34,,20000,,30.159449,7.8,3.0,VFR,37.62,-122.37,2017-11-19T15:56:00Z,,KSFO,9.4,10.0,0.0,0.0,,48.92,9.84252,654.5454545454547,644.7029345454547,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
35,25000,1000,,30.180119,6.1,26.0,VFR,37.72,-122.23,2017-11-19T15:53:00Z,,KOAK,6.7,10.0,0.0,0.0,,44.06,85.30184,245.45454545454567,160.15270545454567,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
36,,,,,,,,,,,,,,,,,,,,,,,,,"[nan, nan, nan]","[nan, nan, nan]"
37,,,,30.180119,,72.0,VFR,36.32,-119.95,2017-11-19T15:56:00Z,,KNLC,,10.0,0.0,0.0,,,236.22048,,,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
40,25000,,,30.171259,6.1,104.0,MVFR,36.78,-119.72,2017-11-19T15:53:00Z,,KFAT,7.2,3.0,100.0,3.0,BR,44.96,341.20736,450.00000000000017,108.79264000000018,0.0,0.0,1.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 255.0]"
